"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"153" "tvch" "N" "nw" 86.452333 503.592 270.6 331.16 470.13 87.79 "N.tvch" 590.04433 3
"154" "teof" "N" "nw" 258.672 233.54967 299.39 350.72 507.35 87.18 "N.teof" 492.22167 4
"155" "tecf" "N" "nw" 703.634333 2199.522 308.22 468.74 614.44 299.05 "N.tecf" 2903.15633 5
"156" "tvcf" "N" "nw" 406.917667 1436.77767 253.12 369.18 488.33 153.22 "N.tvcf" 1843.69533 6
"157" "teoh" "W" "pc" 341.072667 141.37667 286.89 378.29 523.95 58.41 "W.teoh" 482.44933 1
"158" "tech" "W" "pc" 336.189 435.73567 330.13 368.17 545.73 83.2 "W.tech" 771.92467 2
"159" "tvch" "W" "pc" 484.088 140.072 264.38 347.69 481.38 67.78 "W.tvch" 624.16 3
"160" "teof" "W" "pc" 919.258 182.62033 331.03 359.77 543.62 78.06 "W.teof" 1101.87833 4
"161" "tecf" "W" "pc" 428.257 532.35067 308.87 402.47 560.35 179.89 "W.tecf" 960.60767 5
"162" "tvcf" "W" "pc" 505.481333 352.78933 258.28 369.01 494.01 93.27 "W.tvcf" 858.27067 6
"163" "teoh" "W" "pk" 142.336 447.20667 193.04 356.41 438.43 119.75 "W.teoh" 589.54267 1
"164" "tech" "W" "pk" 66.530667 359.819 202.8 344.84 434.46 101.69 "W.tech" 426.34967 2
"165" "tvch" "W" "pk" 46.090667 418.08333 202 335.71 425.43 123.84 "W.tvch" 464.174 3
"166" "teof" "W" "pk" 2437.186667 1117.405 497.94 514.4 789.88 178.94 "W.teof" 3554.59167 4
"167" "tecf" "W" "pk" 1951.889 2555.42433 682.13 969.35 1308.36 450.6 "W.tecf" 4507.31333 5
"168" "tvcf" "W" "pk" 1135.221333 731.95133 441.72 525.46 758.4 214.45 "W.tvcf" 1867.17267 6
"169" "teoh" "N" "rp" 137.238667 232.68067 385.54 538.04 728.44 89.18 "N.teoh" 369.91933 1
"170" "tech" "N" "rp" 31.943667 203.61233 438.9 621.25 839.02 92.15 "N.tech" 235.556 2
"171" "tvch" "N" "rp" 52.847667 254.762 461.45 604.68 839.06 69.46 "N.tvch" 307.60967 3
"172" "teof" "N" "rp" 347.492667 152.46367 402.47 568.9 769.23 76.7 "N.teof" 499.95633 4
"173" "tecf" "N" "rp" 380.121333 454.657 451.67 531.72 773.63 140.74 "N.tecf" 834.77833 5
"174" "tvcf" "N" "rp" 477.512667 660.74233 398.17 605.25 794.63 130.29 "N.tvcf" 1138.255 6
"175" "teoh" "W" "sd" 86.199 147.22 297.03 358.38 515.01 63.66 "W.teoh" 233.419 1
"176" "tech" "W" "sd" 150.801 862.28933 300.02 386.54 539.66 165.58 "W.tech" 1013.09033 2
"177" "tvch" "W" "sd" 739.938333 1331.73267 289.2 362.5 512.58 136.69 "W.tvch" 2071.671 3
"178" "teof" "W" "sd" 545.153667 456.184 303.45 388.85 544 111.28 "W.teof" 1001.33767 4
"179" "tecf" "W" "sd" 9637.556667 3859.57867 552.05 473.35 811.97 324.85 "W.tecf" 13497.13533 5
"180" "tvcf" "W" "sd" 909.012333 1945.569 317.08 420.83 580.25 162.77 "W.tvcf" 2854.58133 6
"181" "teoh" "N" "sg" 236.531667 408.10967 309.71 386.72 545.89 91.18 "N.teoh" 644.64133 1
"182" "tech" "N" "sg" 36.343333 146.248 307.19 343.61 511.13 59.33 "N.tech" 182.59133 2
"183" "tvch" "N" "sg" 315.591333 587.07933 309.1 322.42 501.84 84.56 "N.tvch" 902.67067 3
